date,open,high,low,close,volume,market_cap
2022-04-12,394.60000000,417.10000000,392.40000000,413.60000000,729790.91800000,729790.91800000
2022-04-13,413.70000000,424.60000000,410.30000000,423.40000000,630077.27700000,630077.27700000
2022-04-14,423.40000000,426.90000000,411.30000000,414.70000000,464220.20800000,464220.20800000
2022-04-15,414.70000000,420.00000000,412.50000000,417.30000000,331730.77300000,331730.77300000
2022-04-16,417.30000000,419.00000000,411.60000000,417.30000000,237289.02000000,237289.02000000
2022-04-17,417.30000000,418.20000000,405.50000000,406.60000000,302390.72600000,302390.72600000
2022-04-18,406.70000000,418.00000000,396.20000000,416.80000000,628747.77200000,628747.77200000
2022-04-19,416.90000000,424.70000000,414.60000000,422.30000000,567586.93100000,567586.93100000
2022-04-20,422.30000000,431.40000000,414.90000000,418.40000000,677255.09000000,677255.09000000
2022-04-21,418.40000000,426.00000000,401.20000000,404.90000000,771718.15400000,771718.15400000
2022-04-22,404.90000000,413.90000000,403.30000000,406.60000000,563521.04900000,563521.04900000
2022-04-23,406.60000000,408.10000000,397.30000000,401.10000000,339347.45000000,339347.45000000
2022-04-24,401.20000000,405.50000000,397.10000000,398.80000000,322889.80500000,322889.80500000
2022-04-25,398.80000000,405.70000000,382.30000000,404.30000000,849798.67800000,849798.67800000
2022-04-26,404.40000000,407.50000000,380.80000000,385.90000000,629808.81200000,629808.81200000
2022-04-27,386.00000000,394.80000000,383.30000000,391.30000000,567371.49500000,567371.49500000
2022-04-28,391.40000000,408.60000000,388.50000000,407.10000000,946336.33400000,946336.33400000
2022-04-29,407.20000000,410.70000000,389.70000000,393.00000000,694888.52600000,694888.52600000
2022-04-30,393.00000000,399.90000000,376.30000000,377.10000000,574905.82200000,574905.82200000
2022-05-01,377.10000000,391.40000000,375.50000000,389.90000000,564144.67300000,564144.67300000
2022-05-02,389.90000000,392.60000000,382.10000000,389.50000000,454918.11200000,454918.11200000
2022-05-03,389.50000000,392.30000000,379.80000000,383.90000000,388317.42000000,388317.42000000
2022-05-04,383.90000000,403.10000000,382.70000000,402.60000000,599066.68200000,599066.68200000
2022-05-05,402.60000000,413.60000000,370.70000000,378.40000000,1224114.51200000,1224114.51200000
2022-05-06,378.50000000,383.30000000,370.60000000,379.10000000,702441.41900000,702441.41900000
2022-05-07,379.10000000,380.60000000,360.10000000,365.50000000,554852.53100000,554852.53100000
2022-05-08,365.50000000,367.00000000,349.50000000,355.90000000,785184.08700000,785184.08700000
2022-05-09,355.90000000,359.30000000,295.40000000,296.10000000,2137566.87020000,2137566.87020000
2022-05-10,296.10000000,332.80000000,289.00000000,319.10000000,2160654.17540000,2160654.17540000
2022-05-11,319.10000000,323.00000000,260.80000000,271.50000000,3387753.98260000,3387753.98260000
2022-05-12,271.40000000,285.00000000,218.80000000,269.00000000,4499625.60330000,4499625.60330000
2022-05-13,269.00000000,313.50000000,265.40000000,290.60000000,1912387.36100000,1912387.36100000
2022-05-14,290.70000000,299.50000000,272.10000000,296.90000000,1092874.02300000,1092874.02300000
2022-05-15,296.90000000,312.60000000,285.70000000,312.40000000,774709.23100000,774709.23100000
2022-05-16,312.40000000,312.50000000,290.30000000,297.20000000,967622.83400000,967622.83400000
2022-05-17,297.30000000,310.70000000,295.80000000,306.20000000,702265.60700000,702265.60700000
2022-05-18,306.20000000,308.60000000,286.80000000,287.70000000,731091.09100000,731091.09100000
2022-05-19,287.80000000,308.90000000,286.80000000,307.10000000,685238.84400000,685238.84400000
2022-05-20,307.10000000,316.10000000,294.10000000,302.20000000,918118.17700000,918118.17700000
2022-05-21,302.30000000,314.20000000,299.30000000,312.40000000,470778.48300000,470778.48300000
2022-05-22,312.50000000,323.70000000,311.50000000,319.40000000,640675.57300000,640675.57300000
2022-05-23,319.30000000,337.00000000,315.30000000,317.20000000,1016212.87100000,1016212.87100000
2022-05-24,317.10000000,330.40000000,312.10000000,328.30000000,1087140.69800000,1087140.69800000
2022-05-25,328.30000000,337.90000000,324.00000000,325.70000000,1057736.75500000,1057736.75500000
2022-05-26,325.70000000,331.80000000,296.70000000,303.00000000,1539437.59800000,1539437.59800000
2022-05-27,303.00000000,309.80000000,290.60000000,301.60000000,1460549.00800000,1460549.00800000
2022-05-28,301.50000000,310.50000000,296.90000000,307.50000000,601654.50400000,601654.50400000
2022-05-29,307.60000000,308.20000000,298.60000000,305.80000000,519507.74700000,519507.74700000
2022-05-30,305.90000000,324.00000000,303.90000000,321.80000000,1006928.23100000,1006928.23100000
2022-05-31,321.80000000,324.80000000,313.50000000,320.90000000,701746.39000000,701746.39000000
