date,open,high,low,close,volume
2022-03-25,10.43,11.15,10.79,10.58,1149532.414007
2022-03-26,10.37,10.75,10.57,10.63,821967.615771
2022-03-27,10.48,11.44,10.63,11.4,774372.18623
2022-03-28,10.76,11.59,11.41,10.91,1410581.769831
2022-03-29,10.89,11.73,10.91,11.25,1496795.600162
2022-03-30,10.8,11.85,11.24,11.74,1838168.546688
2022-03-31,11.06,12.5,11.72,11.29,2343667.028949
2022-04-01,10.88,12.1,11.3,11.59,1278611.975524
2022-04-02,11.44,12.03,11.59,11.65,1424718.743573
2022-04-03,11.47,12.04,11.65,11.88,1147366.540855
2022-04-04,11.05,12.17,11.87,11.56,1277201.485081
2022-04-05,11.05,11.9,11.57,11.12,520290.792724
2022-04-06,9.92,11.11,11.11,9.95,946751.513888
2022-04-07,9.82,10.55,9.95,10.45,523601.229043
2022-04-08,9.62,10.55,10.44,9.74,1132309.285773
2022-04-09,9.72,10.09,9.73,10.06,462707.89061
2022-04-10,9.84,10.32,10.07,9.86,416029.576525
2022-04-11,8.9,9.89,9.86,8.98,807658.14486
2022-04-12,8.93,9.5,8.99,9.32,506763.301586
2022-04-13,9.26,9.73,9.32,9.66,546671.623326
2022-04-14,9.33,9.75,9.65,9.47,556550.533869
2022-04-15,9.44,9.97,9.47,9.78,361055.315458
2022-04-16,9.5,9.83,9.78,9.67,165182.01545
2022-04-17,9.19,9.72,9.68,9.25,219198.561551
2022-04-18,8.86,9.41,9.24,9.39,353385.353585
2022-04-19,9.21,9.63,9.39,9.54,294347.86949
2022-04-20,9.11,9.7,9.54,9.32,728296.650885
2022-04-21,8.62,9.72,9.32,8.85,766257.450224
2022-04-22,8.74,9.13,8.85,8.9,762092.677206
2022-04-23,8.84,9.22,8.92,8.92,322314.872689
2022-04-24,8.69,9.15,8.91,8.71,195625.571253
2022-04-25,8.17,8.78,8.73,8.74,387899.849142
2022-04-26,7.92,8.81,8.74,8.0,323479.970773
2022-04-27,7.98,8.41,8.01,8.23,304317.778916
2022-04-28,8.03,8.35,8.23,8.17,289711.786363
2022-04-29,7.51,8.23,8.17,7.61,484868.37358
2022-04-30,6.35,7.8,7.62,6.76,597918.953768
2022-05-01,6.57,7.24,6.76,7.12,669708.020511
2022-05-02,6.64,7.19,7.12,6.94,482634.702419
2022-05-03,6.7,7.13,6.94,6.86,696844.520448
2022-05-04,6.82,7.97,6.86,7.94,661177.858186
2022-05-05,6.97,8.1,7.94,7.34,612917.89129
2022-05-06,6.87,7.69,7.35,7.58,611206.555675
2022-05-07,6.98,7.65,7.58,7.17,589639.104913
2022-05-08,6.85,7.33,7.17,7.1,372814.460941
2022-05-09,5.9,7.22,7.1,5.95,957927.861088
2022-05-10,5.76,6.66,5.94,6.07,1211743.763667
2022-05-11,4.63,6.22,6.07,4.89,1835716.782292
2022-05-12,3.57,5.18,4.89,4.65,1365544.617288
2022-05-13,4.59,5.46,4.65,5.13,564417.775299
2022-05-14,4.71,5.37,5.13,5.17,459360.374187
2022-05-15,4.98,5.47,5.18,5.45,221403.41167
2022-05-16,4.89,5.44,5.44,5.06,267552.335535
2022-05-17,5.03,5.51,5.06,5.46,447161.288981
2022-05-18,4.85,5.55,5.46,4.89,429233.816794
2022-05-19,4.72,5.22,4.9,5.18,322013.172525
2022-05-20,4.92,5.52,5.18,5.09,513916.601052
2022-05-21,4.98,5.37,5.08,5.22,255636.984027
2022-05-22,5.12,5.55,5.23,5.49,332366.243514
2022-05-23,5.36,5.97,5.49,5.62,455429.066496
2022-05-24,5.27,5.82,5.62,5.59,702432.413598
2022-05-25,5.36,5.79,5.59,5.62,466740.592643
2022-05-26,4.77,5.77,5.62,4.94,656172.266126
2022-05-27,4.58,5.08,4.94,4.7,669262.333728
2022-05-28,4.61,5.02,4.7,4.98,254140.831567
2022-05-29,4.77,5.03,4.99,4.94,346527.111692
2022-05-30,4.88,5.69,4.94,5.66,598081.039964
2022-05-31,5.55,5.87,5.66,5.69,418022.072532
2022-06-01,5.1,5.81,5.68,5.13,415792.033727
2022-06-02,5.04,5.34,5.13,5.298,502642.481138
2022-06-03,4.96,5.337,5.298,5.067,520868.489168
2022-06-04,4.933,5.167,5.066,5.133,773182.265443
2022-06-05,4.915,5.223,5.136,5.084,720996.290882
2022-06-06,5.082,5.417,5.084,5.369,736175.594975
